"Dept_new"	"Dept_name"	"grade_type"	"total_grades"	"total_classes"	"weighted_gpa"	"grade_rank"	"major_comb"
"ACE"	"American Culture & English"	"300 and 400 Level"	314	12	3.20063694267516	58	"ACE: American Culture & English"
"AES"	"Aerospace Studies"	"300 and 400 Level"	102	8	3.56862745098039	68	"AES: Aerospace Studies"
"AMS"	"American Studies"	"300 and 400 Level"	431	26	3.14976798143852	54	"AMS: American Studies"
"ARB"	"Arabic"	"300 and 400 Level"	88	7	3.24909090909091	72	"ARB: Arabic"
"ARC"	"Architecture & Interior Design"	"300 and 400 Level"	1814	100	3.34368798235943	26	"ARC: Architecture & Interior Design"
"ART"	"Art"	"300 and 400 Level"	1569	88	3.39164435946463	31	"ART: Art"
"ATH"	"Anthropology"	"300 and 400 Level"	1469	81	3.32626276378489	34	"ATH: Anthropology"
"BIO"	"Biology"	"300 and 400 Level"	3027	148	3.09863230921705	18	"BIO: Biology"
"BIS"	"Integrative Studies"	"300 and 400 Level"	646	39	3.25136222910217	48	"BIS: Integrative Studies"
"BLS"	"Business Legal Studies"	"300 and 400 Level"	4597	147	3.15947574505112	11	"BLS: Business Legal Studies"
"BTE"	"Business Technology"	"300 and 400 Level"	652	43	2.90148773006135	47	"BTE: Business Technology"
"BUS"	"Business Analysis"	"300 and 400 Level"	1492	62	3.34426943699732	33	"BUS: Business Analysis"
"BWS"	"Black World Studies"	"300 and 400 Level"	90	8	2.919	70.5	"BWS: Black World Studies"
"CAS"	"College Of Arts And Science"	"300 and 400 Level"	40	3	3.4775	79	"CAS: College Of Arts And Science"
"CCA"	"College Of Creative Arts"	"300 and 400 Level"	113	9	3.71557522123894	67	"CCA: College Of Creative Arts"
"CEC"	"College Of Engineering & Computing"	"300 and 400 Level"	62	3	3.77338709677419	76	"CEC: College Of Engineering & Computing"
"CHI"	"Chinese"	"300 and 400 Level"	407	26	3.31299754299754	55	"CHI: Chinese"
"CHM"	"Chemistry & Biochemistry"	"300 and 400 Level"	2087	70	2.87172017249641	24	"CHM: Chemistry & Biochemistry"
"CIT"	"Comp Information Technology"	"300 and 400 Level"	361	21	3.48817174515235	56	"CIT: Comp Information Technology"
"CJS"	"Criminal Justice Studies"	"300 and 400 Level"	611	36	3.1631914893617	49	"CJS: Criminal Justice Studies"
"CLS"	"Classics"	"300 and 400 Level"	128	9	3.23984375	66	"CLS: Classics"
"CMS"	"Comparative Media Studies"	"300 and 400 Level"	11	1	2.96	84	"CMS: Comparative Media Studies"
"CPB"	"Chemical, Paper & Biomed Engineering"	"300 and 400 Level"	2771	128	3.1598015156983	20	"CPB: Chemical, Paper & Biomed Engineering"
"CRD"	"Civic And Regional Development"	"300 and 400 Level"	9	1	3.7	85	"CRD: Civic And Regional Development"
"CSE"	"Computer Science & Software Engineering"	"300 and 400 Level"	1984	83	3.01646169354839	25	"CSE: Computer Science & Software Engineering"
"DST"	"Disability Studies"	"300 and 400 Level"	15	1	3.41	82	"DST: Disability Studies"
"ECE"	"Electrical & Computer Engineer"	"300 and 400 Level"	1405	73	3.03940925266904	37	"ECE: Electrical & Computer Engineer"
"ECO"	"Economics"	"300 and 400 Level"	5250	180	2.66762666666667	9	"ECO: Economics"
"EDL"	"Educational Leadership"	"300 and 400 Level"	1451	84	3.88663680220538	36	"EDL: Educational Leadership"
"EDP"	"Educational Psychology"	"300 and 400 Level"	3172	135	3.78155422446406	17	"EDP: Educational Psychology"
"EDT"	"Teacher Education"	"300 and 400 Level"	6831	302	3.77951837212707	4	"EDT: Teacher Education"
"EGM"	"Engineering Management"	"300 and 400 Level"	75	5	2.85173333333333	74.5	"EGM: Engineering Management"
"EHS"	"Education, Health And Society"	"300 and 400 Level"	33	2	3.5069696969697	80	"EHS: Education, Health And Society"
"ENG"	"English"	"300 and 400 Level"	6387	337	3.52748708313762	6	"ENG: English"
"ENT"	"Engineering Technology"	"300 and 400 Level"	1715	99	3.27665306122449	28	"ENT: Engineering Technology"
"ESP"	"Entrepreneurship"	"300 and 400 Level"	1605	61	3.19993146417446	29	"ESP: Entrepreneurship"
"FAS"	"Fashion Design"	"300 and 400 Level"	90	3	3.62166666666667	70.5	"FAS: Fashion Design"
"FIN"	"Finance"	"300 and 400 Level"	9682	264	2.90277525304689	1	"FIN: Finance"
"FRE"	"French"	"300 and 400 Level"	795	50	3.47096855345912	43	"FRE: French"
"FST"	"Film Studies"	"300 and 400 Level"	212	16	3.38080188679245	63	"FST: Film Studies"
"FSW"	"Family Studies And Social Work"	"300 and 400 Level"	5720	196	3.3903006993007	8	"FSW: Family Studies And Social Work"
"GEO"	"Geography"	"300 and 400 Level"	1595	81	3.14209404388715	30	"GEO: Geography"
"GER"	"German"	"300 and 400 Level"	451	25	3.47909090909091	53	"GER: German"
"GHS"	"Global Health Studies"	"300 and 400 Level"	48	4	3.786875	77	"GHS: Global Health Studies"
"GLG"	"Geology"	"300 and 400 Level"	1136	49	3.11616197183099	39	"GLG: Geology"
"GTY"	"Gerontology"	"300 and 400 Level"	478	26	3.40491631799163	52	"GTY: Gerontology"
"HST"	"History"	"300 and 400 Level"	2230	110	3.08560089686099	22	"HST: History"
"IDS"	"Interdisciplinary"	"300 and 400 Level"	13	1	4	83	"IDS: Interdisciplinary"
"IES"	"Environmental Sciences"	"300 and 400 Level"	292	18	3.59130136986301	60	"IES: Environmental Sciences"
"IMS"	"Interactive Media Studies"	"300 and 400 Level"	2210	119	3.57289592760181	23	"IMS: Interactive Media Studies"
"ISA"	"Information Systems & Analytics"	"300 and 400 Level"	2727	112	2.98742574257426	21	"ISA: Information Systems & Analytics"
"ITL"	"Italian"	"300 and 400 Level"	79	6	3.55329113924051	73	"ITL: Italian"
"ITS"	"International Studies"	"300 and 400 Level"	884	58	3.37942307692308	41	"ITS: International Studies"
"JPN"	"Japanese"	"300 and 400 Level"	154	10	3.10857142857143	65	"JPN: Japanese"
"JRN"	"Journalism"	"300 and 400 Level"	1135	71	3.3740704845815	40	"JRN: Journalism"
"KNH"	"Kinesiology And Health"	"300 and 400 Level"	9402	448	3.33928419485216	2	"KNH: Kinesiology And Health"
"LAS"	"Latin American Studies"	"300 and 400 Level"	251	19	3.22760956175299	62	"LAS: Latin American Studies"
"LAT"	"Latin Language & Literature"	"300 and 400 Level"	32	2	3.364375	81	"LAT: Latin Language & Literature"
"LST"	"Liberal Studies"	"300 and 400 Level"	42	3	3.12285714285714	78	"LST: Liberal Studies"
"LUX"	"Luxembourg"	"300 and 400 Level"	695	7	3.85401438848921	46	"LUX: Luxembourg"
"MAC"	"Media And Culture"	"300 and 400 Level"	864	51	3.29055555555556	42	"MAC: Media And Culture"
"MBI"	"Microbiology"	"300 and 400 Level"	1165	59	3.02018884120172	38	"MBI: Microbiology"
"MGT"	"Management"	"300 and 400 Level"	9062	311	3.02801809755021	3	"MGT: Management"
"MKT"	"Marketing"	"300 and 400 Level"	6781	258	3.29971538121221	5	"MKT: Marketing"
"MME"	"Mechanical & Manufacturing Engineering"	"300 and 400 Level"	3993	193	2.83116954670674	13	"MME: Mechanical & Manufacturing Engineering"
"MTH"	"Mathematics"	"300 and 400 Level"	1764	98	3.0774716553288	27	"MTH: Mathematics"
"MUS"	"Music"	"300 and 400 Level"	742	43	3.61443396226415	44	"MUS: Music"
"NSC"	"Naval Science"	"300 and 400 Level"	338	22	3.72346153846154	57	"NSC: Naval Science"
"NSG"	"Nursing"	"300 and 400 Level"	3657	159	3.45361771944217	15	"NSG: Nursing"
"PHL"	"Philosophy"	"300 and 400 Level"	741	35	3.28968960863698	45	"PHL: Philosophy"
"PHY"	"Physics"	"300 and 400 Level"	202	15	3.46742574257426	64	"PHY: Physics"
"POL"	"Political Science"	"300 and 400 Level"	4868	185	3.21835456039441	10	"POL: Political Science"
"PSY"	"Psychology"	"300 and 400 Level"	3396	153	3.41273851590106	16	"PSY: Psychology"
"REL"	"Comparative Religion"	"300 and 400 Level"	269	17	3.31539033457249	61	"REL: Comparative Religion"
"RUS"	"Russian"	"300 and 400 Level"	75	7	3.21146666666667	74.5	"RUS: Russian"
"SJS"	"Social Justice Studies"	"300 and 400 Level"	95	8	3.58484210526316	69	"SJS: Social Justice Studies"
"SOC"	"Sociology"	"300 and 400 Level"	1498	77	3.33280373831776	32	"SOC: Sociology"
"SPA"	"Speech Pathology & Audiology"	"300 and 400 Level"	1462	50	3.65771545827633	35	"SPA: Speech Pathology & Audiology"
"SPN"	"Spanish"	"300 and 400 Level"	3847	209	3.32789966207434	14	"SPN: Spanish"
"STA"	"Statistics"	"300 and 400 Level"	2837	111	2.83985900599225	19	"STA: Statistics"
"STC"	"Strategic Communication"	"300 and 400 Level"	4076	193	3.30928361138371	12	"STC: Strategic Communication"
"THE"	"Theatre"	"300 and 400 Level"	556	34	3.38253597122302	50	"THE: Theatre"
"WGS"	"Women, Gender & Sexuality Studies"	"300 and 400 Level"	479	34	3.32716075156576	51	"WGS: Women, Gender & Sexuality Studies"
"WST"	"Western Program"	"300 and 400 Level"	295	21	3.40379661016949	59	"WST: Western Program"
"AAA"	"Asian/Asian American Studies"	"100 and 200 Level"	791	32	3.38346396965866	65	"AAA: Asian/Asian American Studies"
"ACC"	"Accountancy"	"100 and 200 Level"	7176	147	2.78099637681159	18	"ACC: Accountancy"
"ACE"	"American Culture & English"	"100 and 200 Level"	2158	159	3.20714087117702	48	"ACE: American Culture & English"
"AES"	"Aerospace Studies"	"100 and 200 Level"	135	9	3.60037037037037	77	"AES: Aerospace Studies"
"AMS"	"American Studies"	"100 and 200 Level"	3381	105	3.16138716356108	34	"AMS: American Studies"
"ARB"	"Arabic"	"100 and 200 Level"	363	25	3.22429752066116	71.5	"ARB: Arabic"
"ARC"	"Architecture & Interior Design"	"100 and 200 Level"	3968	79	3.02755796370968	33	"ARC: Architecture & Interior Design"
"ART"	"Art"	"100 and 200 Level"	12342	625	3.23714795008913	9	"ART: Art"
"ATH"	"Anthropology"	"100 and 200 Level"	5741	162	3.07451663473262	22	"ATH: Anthropology"
"BIO"	"Biology"	"100 and 200 Level"	17034	762	2.76392156862745	4	"BIO: Biology"
"BIS"	"Integrative Studies"	"100 and 200 Level"	363	23	3.23429752066116	71.5	"BIS: Integrative Studies"
"BLS"	"Business Legal Studies"	"100 and 200 Level"	10	1	4	88.5	"BLS: Business Legal Studies"
"BTE"	"Business Technology"	"100 and 200 Level"	4067	277	2.89371526924023	32	"BTE: Business Technology"
"BUS"	"Business Analysis"	"100 and 200 Level"	6967	228	3.26734175398306	19	"BUS: Business Analysis"
"BWS"	"Black World Studies"	"100 and 200 Level"	1569	60	3.04044614404079	54	"BWS: Black World Studies"
"CAS"	"College Of Arts And Science"	"100 and 200 Level"	90	6	3.60022222222222	82	"CAS: College Of Arts And Science"
"CCA"	"College Of Creative Arts"	"100 and 200 Level"	881	29	3.44081725312145	63	"CCA: College Of Creative Arts"
"CEC"	"College Of Engineering & Computing"	"100 and 200 Level"	2573	41	3.47277108433735	43	"CEC: College Of Engineering & Computing"
"CHI"	"Chinese"	"100 and 200 Level"	1320	72	3.31890151515152	56	"CHI: Chinese"
"CHM"	"Chemistry & Biochemistry"	"100 and 200 Level"	19844	375	2.70511187260633	3	"CHM: Chemistry & Biochemistry"
"CIT"	"Comp Information Technology"	"100 and 200 Level"	1585	104	2.7150094637224	53	"CIT: Comp Information Technology"
"CJS"	"Criminal Justice Studies"	"100 and 200 Level"	2129	94	2.80508689525599	49	"CJS: Criminal Justice Studies"
"CLS"	"Classics"	"100 and 200 Level"	1716	60	3.20780885780886	52	"CLS: Classics"
"CMS"	"Comparative Media Studies"	"100 and 200 Level"	113	7	3.14061946902655	79	"CMS: Comparative Media Studies"
"CPB"	"Chemical, Paper & Biomed Engineering"	"100 and 200 Level"	1032	41	3.01103682170543	62	"CPB: Chemical, Paper & Biomed Engineering"
"CRD"	"Civic And Regional Development"	"100 and 200 Level"	68	5	3.25323529411765	85	"CRD: Civic And Regional Development"
"CSE"	"Computer Science & Software Engineering"	"100 and 200 Level"	9576	415	2.97026629072682	14	"CSE: Computer Science & Software Engineering"
"DST"	"Disability Studies"	"100 and 200 Level"	104	9	3.55836538461538	80	"DST: Disability Studies"
"ECE"	"Electrical & Computer Engineer"	"100 and 200 Level"	1051	62	2.79645099904853	61	"ECE: Electrical & Computer Engineer"
"ECO"	"Economics"	"100 and 200 Level"	10442	217	2.69108695652174	12	"ECO: Economics"
"EDL"	"Educational Leadership"	"100 and 200 Level"	5143	301	3.53741007194245	29	"EDL: Educational Leadership"
"EDP"	"Educational Psychology"	"100 and 200 Level"	5366	169	3.46725307491614	28	"EDP: Educational Psychology"
"EDT"	"Teacher Education"	"100 and 200 Level"	5698	298	3.43165847665848	23	"EDT: Teacher Education"
"ENG"	"English"	"100 and 200 Level"	31348	1643	3.28826368508358	1	"ENG: English"
"ENT"	"Engineering Technology"	"100 and 200 Level"	1152	68	2.87329861111111	59	"ENT: Engineering Technology"
"ESP"	"Entrepreneurship"	"100 and 200 Level"	2557	67	3.32678529526789	44	"ESP: Entrepreneurship"
"FAS"	"Fashion Design"	"100 and 200 Level"	70	6	3.34071428571429	84	"FAS: Fashion Design"
"FIN"	"Finance"	"100 and 200 Level"	307	9	3.13879478827362	75	"FIN: Finance"
"FRE"	"French"	"100 and 200 Level"	2803	159	3.1459293613985	39	"FRE: French"
"FST"	"Film Studies"	"100 and 200 Level"	821	41	3.23501827040195	64	"FST: Film Studies"
"FSW"	"Family Studies And Social Work"	"100 and 200 Level"	5513	169	3.43535824415019	27	"FSW: Family Studies And Social Work"
"GEO"	"Geography"	"100 and 200 Level"	6516	143	2.93914978514426	20	"GEO: Geography"
"GER"	"German"	"100 and 200 Level"	1846	101	3.27736728060672	51	"GER: German"
"GHS"	"Global Health Studies"	"100 and 200 Level"	100	3	3.037	81	"GHS: Global Health Studies"
"GLG"	"Geology"	"100 and 200 Level"	12060	306	3.15892371475954	10	"GLG: Geology"
"GRK"	"Greek"	"100 and 200 Level"	10	1	3.3	88.5	"GRK: Greek"
"GTY"	"Gerontology"	"100 and 200 Level"	2263	62	3.56199734865223	46	"GTY: Gerontology"
"HBW"	"Hebrew"	"100 and 200 Level"	86	6	3.54872093023256	83	"HBW: Hebrew"
"HIN"	"Hindi"	"100 and 200 Level"	30	3	3.73666666666667	87	"HIN: Hindi"
"HST"	"History"	"100 and 200 Level"	11230	466	2.90477738201247	11	"HST: History"
"IDS"	"Interdisciplinary"	"100 and 200 Level"	1338	62	3.3904110612855	55	"IDS: Interdisciplinary"
